,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
POLAND,"82,244","87,439","87,817","88,592","89,118","84,515","61,431","50,735","52,130","61,918","64,606","65,115","66,208","59,935","53,840","58,340","60,745","67,390","72,310","73,750","77,743","80,476","83,804","85,946","88,515","51,076","51,026","71,814"
PORTUGAL,"23,066","23,252","24,244","26,560","27,016","28,014","28,150","27,194","27,532","21,165","21,173","22,588",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PUERTO RICO,"4,087","4,110","4,350","4,671","4,221","4,566","4,908","4,364","4,402","4,889","5,073","5,022","5,062","5,213","4,415","4,379","4,214","4,197","4,210","4,456","5,051","5,003","4,927","4,260","4,931","3,882","2,755","3,638"
QATAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,482","1,700","2,057","2,324","2,612","2,839","2,941","2,938","2,256","1,819","2,137",582,611,"2,560"
REUNION,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,551,574,601,255,..,..
ROMANIA,"5,445","5,205","5,149","4,831","5,224","5,264","4,938","4,794","5,595","6,600","5,839","6,037","7,722","8,862","7,575","7,498","7,611","7,937","8,019","8,442","9,331","10,223","10,926","11,720","12,815","5,023","6,789","12,697"
RUSSIAN FEDERATION,"10,290","16,208","17,463","16,188","18,820","21,169","21,595","23,309","22,521","22,064","22,201","22,486","22,909","23,676","21,339","22,281","24,932","28,177","30,792","32,421","33,729","24,571","24,390","24,551","24,419","6,359",..,..
RWANDA,..,..,..,..,..,..,..,..,..,..,..,531,610,669,664,667,908,"1,061","1,122","1,220","1,298","1,377","1,570","1,711","1,634",497,511,..
SABA,25,24.3,28.6,25.4,24.3,24.4,23.9,21.5,20.5,23.2,24.9,22.9,21.7,22.5,23.7,22.5,..,..,..,..,..,..,..,..,..,..,..,..
SAINT KITTS AND NEVIS,203,172,194,250,226,247,334,240,247,383,365,350,379,533,548,624,723,666,695,818,"1,036","1,055","1,194","1,278","1,107",301,123,589
SAINT LUCIA,407,422,563,629,666,727,747,648,683,791,720,670,905,925,982,984,950,889,921,987,"1,031",948,"1,064","1,165","1,220",433,297,714
SAINT VINCENT AND THE GRENADINES,218,216,200,202,223,256,254,247,242,262,256,306,328,250,271,231,208,200,200,205,207,227,304,356,399,155,57,210
SAMOA,..,..,..,..,..,..,..,..,..,..,..,116,122,122,129,130,128,135,125,132,139,146,158,172,181,24,3,51
SAN MARINO,"3,368","3,345","3,308","3,264","3,148","3,071","3,036","3,102","2,882","2,812","2,107","2,136","2,164","2,112","2,056","1,976","2,038","1,869","1,905","2,004","1,888","2,000","1,937","1,874","1,904","1,015","1,354",..
SAO TOME AND PRINCIPE,..,..,..,..,..,..,7.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SAUDI ARABIA,"4,398",..,..,..,..,..,..,..,..,"11,083","10,417","10,962","13,479","17,717","13,319","13,025","15,776","19,847","19,934","23,010","21,834","20,887","18,607","17,570","20,292","4,882","3,869","18,256"
SENEGAL,..,..,..,..,..,..,..,..,502,677,779,876,879,877,815,906,977,967,"1,069",976,"1,014","1,219","1,376",..,..,..,..,..
SERBIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SERBIA AND MONTENEGRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SEYCHELLES,127,142,136,134,130,140,138,135,127,126,135,151,171,173,178,191,210,216,237,239,296,333,382,405,428,125,183,339
SIERRA LEONE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75,95,53,31,60,59,66,71,26,44,..
SINGAPORE,"7,137","7,292","7,198","6,242","6,958","7,691","7,522","7,567","6,127","8,329","8,943","9,751","10,285","10,116","9,683","11,642","13,171","14,496","15,568","15,095","15,232","16,403","17,425","18,508","19,116","2,742",330,"6,306"
SINT EUSTATIUS,25,24,25,25,25,27,30,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SINT MAARTEN (DUTCH PART),"1,024","1,022","1,325","1,339","1,061","1,300","1,271","1,436","1,600","1,823","1,956","1,890","1,891","1,821","1,655","1,956","2,080","2,210","2,253","2,502","2,407","2,197","1,640","1,775","1,952",542,482,"1,217"
SLOVAKIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"12,583","11,556","14,936","17,376","15,406","15,299","16,086",..,..,..
SLOVENIA,"63,674","71,876","76,568","65,587","60,009","63,580","61,878","60,031","59,388","63,013","60,230","58,274","61,293",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SOLOMON ISLANDS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SOMALIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SOUTH AFRICA,"4,684","5,186","5,170","5,898","6,026","6,001","5,908","6,550","6,640","6,815","7,518","8,509","9,208","9,729","9,532","11,303","12,097","13,069","14,318","14,530","13,952","15,121","14,975","15,004","14,797","3,887","2,664","7,342"
SOUTH SUDAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SPAIN,"52,460","55,077","62,415","68,068","72,040","74,580","75,564","79,313","82,326","85,981","92,563","96,152","98,907","97,670","91,899","93,744","99,187","98,128","103,231","107,144","109,834","115,561","121,717","124,456","126,170","36,410","51,631","104,968"
SRI LANKA,414,315,384,409,465,445,397,457,583,681,669,689,592,526,538,766,976,"1,133","1,415","1,665","1,993","2,168","2,248","2,521","2,027",540,195,759
STATE OF PALESTINE,..,795,685,767,907,"1,055",..,..,..,..,..,..,928,"1,487","1,740","2,821","2,730","3,051","2,874","2,907","2,054","2,231","3,192","3,429","4,232","1,000",..,..
SUDAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SURINAME,69,74,78,70,72,72,68,..,100,..,..,154,167,151,151,206,221,240,250,253,229,257,279,..,..,..,..,..
SWEDEN,..,..,..,..,..,..,"7,432","7,457","7,627",..,..,..,..,..,..,..,"19,405","20,011","18,803","19,945",..,..,..,..,..,..,..,..
SWITZERLAND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SYRIAN ARAB REPUBLIC,"2,253","2,435","2,332","2,464","2,682","3,412","3,671","4,678","4,837","6,334","5,859","5,682","5,434","6,951","7,721","10,970","6,476",..,..,..,..,"1,043","1,291","1,802","2,424",479,661,..
TAIWAN PROVINCE OF CHINA,"2,332","2,358","2,372","2,299","2,411","2,624","2,831","2,978","2,248","2,950","3,378","3,520","3,716","3,845","4,395","5,567","6,087","7,311","8,016","9,910","10,440","10,690","10,740","11,067","11,864","1,378",140,896
TAJIKISTAN,..,0.7,2.1,3.2,4.5,7.7,5.2,..,..,..,..,..,..,325,207,160,183,244,208,213,414,344,431,"1,035","1,257",351,296,..
"TANZANIA, UNITED REPUBLIC OF",295,326,360,482,627,501,525,575,576,583,613,644,719,770,714,783,868,"1,077","1,096","1,140","1,137","1,284","1,327","1,506","1,527",621,"1,027",..
THAILAND,..,"7,434","7,530","8,204","9,151","10,096","10,751",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TIMOR-LESTE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TOGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TONGA,33,31,29,35,44,43,38,45,51,51,60,54,65,65,75,65,68,57,60,66,73,87,87,77,94,12,0,22
TRINIDAD AND TOBAGO,282,317,360,377,421,503,468,451,474,501,529,534,531,482,534,490,491,504,467,459,522,498,470,508,482,141,41,253
TUNISIA,"4,186","3,986","4,392","4,831","5,000","5,244","5,663","5,322","5,492","6,419","6,975","7,176","7,512","7,750","8,507","8,640","6,038",..,..,..,..,..,..,..,..,..,..,..
TÜRKIYE,"7,727","8,614","9,689","9,753","7,487","10,428","11,619","13,256","14,030","17,517","21,125","19,820","27,215","31,138","31,760","32,997","36,769","37,715","39,861","41,627","41,114","30,907","37,970","46,113","51,747","15,971","30,039","51,388"
TURKMENISTAN,233,282,332,380,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TURKS AND CAICOS ISLANDS,..,..,..,..,..,..,..,..,..,..,..,..,..,757,865,899,"1,010",968,"1,069","1,330","1,316","1,296","1,243","1,463","1,599",370,432,..
TUVALU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
UGANDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
UKRAINE,"6,127","6,750","14,743","12,003","10,990","11,691","11,877","12,793","15,161","18,583","20,489","21,714","26,162","28,827","24,033","24,114","24,535","25,061","26,025","13,227","13,025","13,734","14,579","14,342","13,710","3,382","4,272","2,307"
UNITED ARAB EMIRATES,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"19,313","20,894","21,805","23,092","25,282","8,084","12,784",..
UNITED KINGDOM,"23,537","25,163","25,515","25,745","25,394","25,209","22,835","24,180","24,715","27,755","29,970","32,713","32,778","31,888","31,072","30,398","31,886","32,221","33,567","35,337","36,792","39,129","41,080","40,283","40,857","11,101","6,384","31,244"
UNITED STATES OF AMERICA,"79,732","82,756","82,525","74,767","75,796","78,343","70,975","64,434","62,082","67,606","71,484","183,178","175,299","175,703","160,508","162,275","147,271","171,630","179,310","178,311","176,865","175,261","174,292","169,325","165,478","44,792","66,594",..
UNITED STATES VIRGIN ISLANDS,"1,741","1,779","2,128","2,139","1,964","2,396","2,497","2,337","2,395","2,620","2,602","2,571","2,606","2,435","2,245","2,531","2,686","2,640","2,702","2,814","2,643","2,574","1,954","1,922","2,074",862,"1,072",..
URUGUAY,"2,177","2,258","2,463","2,324","2,273","2,236","2,136","1,354","1,508","1,871","1,917","1,824","1,815","2,255","2,303","2,708","3,244","3,155","3,242","3,195","3,286","3,632","4,219","3,954","3,480",..,234,..
UZBEKISTAN,92,173,960,811,487,302,345,332,231,262,242,560,903,"1,069","1,215",975,"1,393","1,895","1,969","1,862","1,918","2,027","2,690","5,346","6,749","1,504","1,881","5,233"
VANUATU,82,103,81,78,96,106,106,99,102,99,126,154,167,197,226,238,249,321,357,329,287,352,333,350,256,82,..,65
"VENEZUELA, BOLIVARIAN REPUBLIC OF",879,960,933,813,702,602,792,590,435,618,846,883,898,702,567,535,625,"1,061","1,085",967,882,681,429,..,..,..,..,..
VIET NAM,"1,351","1,607","1,716","1,520","1,782","2,140","2,330","2,628","2,429","2,928","3,477","3,583","4,229","4,236","3,747","5,050","6,014","6,848","7,572","7,874","7,944","10,013","12,922","15,498","18,009","3,837",157,"3,661"
YEMEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,035","1,175","1,282","1,323","1,218",398,..,..,..,..,..,..,..
ZAMBIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ZIMBABWE,"1,416","1,597","1,336","2,090","2,250","1,967","2,217","2,041","2,256","1,854","1,559","2,287","2,506","1,956","2,017","2,239","2,423","1,794","1,833","1,880","2,057","2,168","2,423","2,580","2,294",639,381,"1,044"
